,Text,Price,Brand,Screen Size,Model,CPU,RAM,SSD
0,لپ تاپ 15.6 اینچی لنوو مدل Ideapad 1-Celeron N4020 4GB 256SSD,"9,139,000",Lenovo,15.6,Ideapad,Celeron,4GB,256
1,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRU8-i3 8GB 256SSD,"16,480,000",Lenovo,15.6,IdeaPad,i3,8GB,256
2,لپ تاپ 15.6 اینچی ایسوس مدل X1500EP-EJ005W i5 12GB 512SSD MX330 - کاستوم شده,"31,500,000",Asus,15.6,X1500EP-EJ005W,i5,12GB,512
3,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-BQ613-i5 16GB 512SSD Iris Xe - کاستوم شده,"25,499,000",Asus,15.6,Vivobook,i5,16GB,512
4,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-A 8GB 1SSD Radeon - کاستوم شده,"14,150,000",Lenovo,15.6,V15,AMN-A,8GB,1
5,لپ تاپ 15.6 اینچی اچ‌پی مدل G9 255 5Y3X4EA-R3 5425U 4GB 1HDD,"16,500,000",HP,15.6,G9,NA,4GB,NA
6,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-Athlon Silver 7120U 8GB 256SSD,"13,100,000",Lenovo,15.6,V15,NA,8GB,256
7,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL-Celeron 4GB 1HDD 512SSD - کاستوم شده,"13,300,000",Lenovo,15.6,V15,Celeron,4GB,512
8,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 16GB 512GB MX350 - کاستوم شده,"24,799,000",Lenovo,15.6,IdeaPad,i5,16GB,NA
9,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 5 15IAL7-i5 1235U 16GB 512SSD MX550,"30,999,000",Lenovo,15.6,IdeaPad,i5,16GB,512
10,لپ تاپ 15.6 اینچی ایسوس مدل Creator Laptop Q Q530VJ,"52,990,000",Asus,15.6,Creator,NA,NA,NA
11,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL-Celeron N4020 4GB 256SSD,"9,480,000",Lenovo,15.6,V15,Celeron,4GB,256
12,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook 15 R1502ZA-BQ613,"24,199,000",Asus,15.6,VivoBook,NA,NA,NA
13,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 8GB 512SSD MX350,"23,099,000",Lenovo,15.6,IdeaPad,i5,8GB,512
14,لپ تاپ 13.3 اینچی اپل مدل MacBook Air MGN63 2020,"43,499,000",Apple,13.3,MacBook,NA,NA,NA
15,لپ تاپ 15.6 اینچی اچ‌ پی مدل 15-FC0002NIA R5 8GB 512SSD,"21,800,000",NA,15.6,15-FC0002NIA,NA,8GB,512
16,لپ تاپ 15.6 اینچی اچ‌پی مدل Victus 15 FA1093DX-i5 16GB 1SSD RTX3050 - کاستوم شده,"41,800,000",HP,15.6,Victus,i5,16GB,1
17,لپ تاپ 15.6 اینچی ایسوس مدل ExpertBook B1 B1502CB-BQ0561-i5 24GB 1SSD - کاستوم شده,"32,990,000",Asus,15.6,ExpertBook,i5,24GB,1
18,لپ تاپ 16 اینچی ایسوس مدل Vivobook 16 R1605ZA-MB120-i7 1255U 16GB 512SSD,"29,749,000",Asus,16,Vivobook,i7,16GB,512
19,لپ تاپ 16 اینچی ایسوس مدل Vivobook 16 R1605ZA-MB118,"27,350,000",Asus,16,Vivobook,NA,NA,NA
20,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 4GB 256SSD,"16,290,000",Lenovo,15.6,V15,i3,4GB,256
21,لپ تاپ 18 اینچی ایسوس مدل ROG Strix SCAR 18 G834JY-N5049-i9 64GB 2SSD RTX4090 - کاستوم شده,"247,600,000",Asus,18,ROG,i9,64GB,2
22,لپ تاپ 15.6 اینچی لنوو مدل LOQ 15IRH8-i7 32GB 1SSD RTX4050 - کاستوم شده,"63,800,000",Lenovo,15.6,LOQ,i7,32GB,1
23,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3-i7 12GB 1HDD 128SSD MX450 - کاستوم شده,"31,500,000",Lenovo,15.6,IdeaPad,i7,12GB,128
24,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-Athlon Silver 7120U 8GB 512SSD - کاستوم شده,"14,100,000",Lenovo,15.6,V15,NA,8GB,512
25,لپ تاپ 15.6 اینچی اچ‌پی مدل Victus 15 FA1093DX-i5 32GB 1SSD RTX3050 - کاستوم شده,"45,300,000",HP,15.6,Victus,i5,32GB,1
26,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-EJ971-i5 1235U 8GB 512SSD,"26,200,000",Asus,15.6,Vivobook,i5,8GB,512
27,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-EJ957-i3 8GB 256SSD,"20,500,000",Asus,15.6,Vivobook,i3,8GB,256
28,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 5 15ITL05-i7 8GB 512SSD MX450,"29,390,000",Lenovo,15.6,IdeaPad,i7,8GB,512
29,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook R1504VA-NJ012-i3 1315U 8GB 256SSD,"21,449,950",Asus,15.6,Vivobook,i3,8GB,256
30,لپ تاپ 16 اینچی ایسوس مدل Vivobook 16 R1605ZA-MB118-i5 16GB 1SSD Iris Xe - کاستوم شده,"29,000,000",Asus,16,Vivobook,i5,16GB,1
31,لپ تاپ 15.6 اینچی اچ‌پی مدل Victus 15 FA1093DX-i5 16GB 512SSD RTX3050 - کاستوم شده,"41,842,130",HP,15.6,Victus,i5,16GB,512
32,لپ تاپ 15.6 اینچی ایسوس مدل TUF Dash FX507ZI-F15-i7 16GB 1SSD RTX4070,"64,700,000",Asus,15.6,TUF,i7,16GB,1
33,لپ تاپ 16 اینچی ام اس آی مدل Summit E16Flip A13VFT-i7 32GB 2SSD RTX4060,"105,000,000",NA,16,Summit,i7,32GB,2
34,لپ تاپ 16 اینچی ایسوس مدل ROG Strix G16 G614JV-AS73-i7 32GB 1SSD RTX 4060 - کاستوم شده,"88,680,560",Asus,16,ROG,i7,32GB,1
35,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-R3 7320U 8GB 256SSD,"14,490,000",Lenovo,15.6,V15,NA,8GB,256
36,لپ تاپ 15.6 اینچی اچ‌پی مدل G8-255-R5 8GB 512GB VEGA7,"19,100,000",HP,15.6,G8-255-R5,NA,8GB,NA
37,لپ تاپ 15.6 اینچی اچ‌پی مدل G8-255-R5 16GB 512GB VEGA7,"20,500,000",HP,15.6,G8-255-R5,NA,16GB,NA
38,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 M1502Q-BQ027-R5 16GB 1SSD - کاستوم شده,"30,900,000",Asus,15.6,Vivobook,NA,16GB,1
39,لپ تاپ 15.6 اینچ لنوو مدل IdeaPad 3-i5 24GB 1SSD Iris Xe,"32,000,000",Lenovo,NA,IdeaPad,i5,24GB,1
40,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-A 8GB 1SSD Radeon - کاستوم شده,"15,120,000",Lenovo,15.6,V15,AMN-A,8GB,1
41,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-Athlon 8GB 512SSD - کاستوم شده,"13,900,000",Lenovo,15.6,V15,NA,8GB,512
42,لپ تاپ 15.6 اینچی اچ‌ پی مدل 15-FC0002NIA,"21,800,000",NA,15.6,15-FC0002NIA,NA,NA,NA
43,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook K6500ZC-MA330-i7 12700H 16GB 1SSD RTX3050,"54,199,000",Asus,15.6,Vivobook,i7,16GB,1
44,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i7 16GB 512GB - کاستوم شده,"29,850,000",Lenovo,15.6,IdeaPad,i7,16GB,NA
45,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRU8-i3 8GB 512SSD - کاستوم شده,"18,590,000",Lenovo,15.6,IdeaPad,i3,8GB,512
46,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKP3 M2 2023,"71,790,000",Apple,15.3,MacBook,NA,NA,NA
47,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 - کاستوم شده,"27,299,000",Lenovo,15.6,IdeaPad,i5,16GB,256
48,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 8GB 512SSD - کاستوم شده,"17,590,000",Lenovo,15.6,V15,i3,8GB,512
49,لپ تاپ 15.6 اینچی لنوو مدل Idea Pad 5 15IAL7-i5 16GB 1T 2GB,"34,881,380",Lenovo,15.6,Idea,i5,16GB,NA
50,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRU8-i3 8GB 1SSD - کاستوم شده,"19,400,000",Lenovo,15.6,IdeaPad,i3,8GB,1
51,لپ تاپ 15.6 اینچی اچ‌ پی مدل 15-FC0003NIA - R5 8GB 512SSD RADEON 610M,"23,300,000",NA,15.6,15-FC0003NIA,NA,8GB,512
52,لپ تاپ 17.3 اینچی ایسوس مدل TUF Gaming F17 FX706HF-HX001W-i5 32GB 1SSD RTX2050 - کاستوم شده,"48,790,000",Asus,17.3,TUF,i5,32GB,1
53,لپ تاپ 15.6 اینچی ایسوس مدل X515EA-EJ1314-i3 20GB 1SSD - کاستوم شده,"23,539,000",Asus,15.6,X515EA-EJ1314-i3,i3,20GB,1
54,لپ تاپ 15.6 اینچی لنوو مدل LOQ 15IRH8-i7 16GB 1SSD RTX4050 - کاستوم شده,"59,770,000",Lenovo,15.6,LOQ,i7,16GB,1
55,لپ تاپ 15.6 اینچی لنوو مدل LOQ 15IRH8-i7 16GB 512SSD RTX4050,"56,800,000",Lenovo,15.6,LOQ,i7,16GB,512
56,لپ تاپ 16 اینچی ایسوس مدل Vivobook 16X M1603QA-MB102-R7 5800H 16GB 512SSD,"33,050,000",Asus,16,Vivobook,NA,16GB,512
57,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL05-i5 8GB 512SSD Iris Xe - کاستوم شده,"22,800,000",Lenovo,15.6,IdeaPad,i5,8GB,512
58,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 OLED K513EQ-L1235-i5 1135G7 16GB 512SSD MX350,"30,359,450",Asus,15.6,Vivobook,i5,16GB,512
59,لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Studio-i7 16GB 512SSD RTX3050Ti,"97,000,000",Microsoft,14.4,Surface,i7,16GB,512
60,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 - R3 8GB 512SSD - کاستوم شده,"14,950,000",Lenovo,15.6,V15,NA,8GB,512
61,لپ تاپ 15.6 اینچی لنوو مدل Ideapad 1-Celeron 4GB 512SSD - کاستوم شده,"11,270,000",Lenovo,15.6,Ideapad,Celeron,4GB,512
62,لپ تاپ 15.6 اینچی ایسوس مدل B1500CBA-EJ005W-i5 24GB 1HDD 512SSD Iris Xe - کاستوم شده,"36,190,000",Asus,15.6,B1500CBA-EJ005W-i5,i5,24GB,512
63,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 M1502Q-BQ027-R5 8GB 512SSD,"27,400,000",Asus,15.6,Vivobook,NA,8GB,512
64,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Gaming 3 15IAH7-i7 16GB 1SSD RTX3060 - کاستوم شده,"54,000,000",Lenovo,15.6,IdeaPad,i7,16GB,1
65,لپ تاپ 16.1 اینچی اچ‌پی مدل OMEN 16-B0001-i7 32GB 1TB 3070,"62,520,000",HP,16.1,OMEN,i7,32GB,NA
66,لپ تاپ 15.6 اینچ ایسوس مدل TUF Gaming F15 FX507ZC4-HN065-i7 16GB 512SSD RTX3050 - کاستوم شده,"58,590,000",Asus,NA,TUF,i7,16GB,512
67,لپ تاپ 14 اینچی لنوو مدل ThinkPad E14 Gen 4-i5 16GB 1SSD MX550 - کاستوم شده,"47,950,000",Lenovo,14,ThinkPad,i5,16GB,1
68,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 1 15IGL7-Celeron N4020 4GB 1SSD  - کاستوم شده,"13,100,000",Lenovo,15.6,IdeaPad,Celeron,4GB,1
69,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook X1504VA-NJ436-i7 16GB 512SSD - کاستوم شده,"34,670,000",Asus,15.6,Vivobook,i7,16GB,512
70,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i7 8GB 512SSD Iris Xe,"26,700,000",Lenovo,15.6,IdeaPad,i7,8GB,512
71,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 12GB 512SSD - کاستوم شده,"18,390,000",Lenovo,15.6,V15,i3,12GB,512
72,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i3 4GB 256SSD,"16,200,000",Lenovo,15.6,IdeaPad,i3,4GB,256
73,لپ تاپ 15.6 اینچی ای دیتا ایکس پی جی مدل XENIA Xe i5,"38,500,000",AData,15.6,XENIA,i5,NA,NA
74,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook Pro 15 OLED M6500QC-MA023-R7 5800H 16GB 1SSD RTX3050,"48,400,000",Asus,15.6,Vivobook,NA,16GB,1
75,لپ تاپ 15.6 اینچی ایسوس مدل ExpertBook B1 B1502CB-BQ0561-i5 24GB 512SSD - کاستوم شده,"31,550,000",Asus,15.6,ExpertBook,i5,24GB,512
76,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKR3 M2 2023,"71,890,000",Apple,15.3,MacBook,NA,NA,NA
77,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Gaming 3 15IHU6-i5 16GB 1SSD RTX1650 - کاستوم شده,"35,399,000",Lenovo,15.6,IdeaPad,i5,16GB,1
78,لپ تاپ 15.6 اینچی ایسوس مدل Creator Q Q540VJ-I93050-i9 13900H 16GB 1SSD RTX3050,"64,400,000",Asus,15.6,Creator,i9,16GB,1
79,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i7 8GB 512SSD MX450,"28,400,000",Lenovo,15.6,IdeaPad,i7,8GB,512
80,لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4-i7 8GB 512SSD,"57,200,000",Microsoft,15,Surface,i7,8GB,512
81,لپ تاپ 15.6 اینچی لنوو مدل V15 G2 ITL-i5 16GB 1HDD 256SSD MX350 - کاستوم شده,"27,900,000",Lenovo,15.6,V15,i5,16GB,256
82,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 - کاستوم شده,"28,500,000",Lenovo,15.6,IdeaPad,i5,16GB,256
83,لپ تاپ 15.6 اینچی ایسوس مدل ExpertBook B1 B1502CB-BQ0561-i5 8GB 512SSD,"27,590,000",Asus,15.6,ExpertBook,i5,8GB,512
84,لپ تاپ 15.6 اینچی ایسر مدل Aspire 3 A315-59G-52KM-i5 12GB 512SSD MX550 - کاستوم شده,"27,279,000",NA,15.6,Aspire,i5,12GB,512
85,لپ تاپ 13.3 اینچی اپل مدل MacBook Pro MNEH3 2022,"69,950,000",Apple,13.3,MacBook,NA,NA,NA
86,لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming FX507ZU4-LP007W - i7 16GB 512SSD RTX4050,"59,940,000",Asus,15.6,TUF,i7,16GB,512
87,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKQ3 M2 2023,"78,490,000",Apple,15.3,MacBook,NA,NA,NA
88,لپ تاپ 16 اینچی لنوو مدل LOQ 16IRH8 - i7 16GB 1SSD RTX4050 - کاستوم شده,"59,410,000",Lenovo,16,LOQ,i7,16GB,1
89,لپ تاپ 15.6 اینچی اچ‌پی مدل 255 G8,"19,410,000",HP,15.6,255,NA,NA,NA
90,لپ تاپ 14 اینچی ایسوس مدل M433UA-EB406,"29,900,000",Asus,14,M433UA-EB406,NA,NA,NA
91,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ALC6-R5 12GB 256GB 1T - کاستوم شده,"23,300,000",Lenovo,15.6,IdeaPad,NA,12GB,NA
92,لپ تاپ 15.6 اینچی لنوو مدل ThinkBook 15 G2 ITL-i5 16GB 1HDD 512SSD MX450 - کاستوم شده,"29,600,000",Lenovo,15.6,ThinkBook,i5,16GB,512
93,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL - N4020 4GB 256SSD,"10,080,000",Lenovo,15.6,V15,NA,4GB,256
94,لپ تاپ 15.6 اینچی ایسوس مدل P1512CEA-EJ0944X-i3 16GB 512SSD - کاستوم شده,"21,000,000",Asus,15.6,P1512CEA-EJ0944X-i3,i3,16GB,512
95,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 8GB 256SSD - کاستوم شده,"16,890,000",Lenovo,15.6,V15,i3,8GB,256
96,لپ تاپ 14 اینچی ایسوس مدل ExpertBook B1400CBA-EK0127W-i7 1255U 32GB 256SSD 1HDD,"45,500,000",Asus,14,ExpertBook,i7,32GB,256
97,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook R1502ZA-EJ972-i5 1235U 16GB 512SSD,"29,520,000",Asus,15.6,Vivobook,i5,16GB,512
98,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKV3 M2 2023,"75,950,000",Apple,15.3,MacBook,NA,NA,NA
99,لپ تاپ 13.6 اینچی اپل مدل MacBook Air-B M2 2022-M2 8GB 256SSD 10Cores,"61,990,000",Apple,13.6,MacBook,NA,8GB,256
100,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook R565EP-EJ628,"33,970,000",Asus,15.6,VivoBook,NA,NA,NA
101,لپ تاپ 17.3 اینچی ایسوس مدل Vivobook K1703ZA-AU128-i7 12700H 16GB 1SSD,"41,500,000",Asus,17.3,Vivobook,i7,16GB,1
102,لپ تاپ 15 اینچی لنوو مدل Ideapad L3 - B,"23,390,000",Lenovo,15,Ideapad,NA,NA,NA
103,لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming F15 FX507ZC4-HN081W - i5 16GB 512SSD RTX3050 - کاستوم شده,"44,499,000",Asus,15.6,TUF,i5,16GB,512
104,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook M1502QA-EJ041W R7 8GB 1SSD - کاستوم شده,"37,190,000",Asus,15.6,Vivobook,NA,8GB,1
105,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i3 16GB 1SSD - کاستوم شده,"21,900,000",Lenovo,15.6,IdeaPad,i3,16GB,1
106,لپ تاپ 15.6 اینچ لنوو مدل Idea Pad 5 15IAL7-i5 16GB 512GB 2GB - کاستوم شده,"33,578,000",Lenovo,NA,Idea,i5,16GB,NA
107,لپ تاپ 13 اینچی اپل مدل MacBook Air MGN93 2020,"44,599,000",Apple,13,MacBook,NA,NA,NA
108,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-EJ956-i3 12GB 512SSD - کاستوم شده,"22,410,000",Asus,15.6,Vivobook,i3,12GB,512
109,لپ تاپ 15.6 اینچی اچ‌پی مدل G8 255-R5 5500U 16GB 1SSD - کاستوم شده,"23,980,000",HP,15.6,G8,NA,16GB,1
110,لپ تاپ 15.6 اینچی لنوو مدل ThinkBook 15 G2 ITL-i7 16GB 512GB - کاستوم شده,"35,449,000",Lenovo,15.6,ThinkBook,i7,16GB,NA
111,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook X1504VA-NJ436-i7 8GB 512SSD,"29,800,000",Asus,15.6,Vivobook,i7,8GB,512
112,لپ تاپ 15.6 اینچی لنوو مدل V15 G2 ITL-i5 12GB 512SSD MX350 - کاستوم شده,"26,519,000",Lenovo,15.6,V15,i5,12GB,512
113,لپ تاپ 15.6 اینچی ایسوس مدل X543MA-GQ1012-Celeron 4GB 1HDD,"13,790,000",Asus,15.6,X543MA-GQ1012-Celeron,Celeron,4GB,NA
114,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook R565EP-EJ696-i7 16GB 1SSD MX330,"38,760,000",Asus,15.6,Vivobook,i7,16GB,1
115,لپ تاپ 15.6 اینچی لنوو مدل V15 G2 ITL-i5 8GB 1HDD 256GB MX350 - کاستوم شده,"27,249,000",Lenovo,15.6,V15,i5,8GB,NA
116,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL-Celeron N4020 4GB 256SSD,"9,900,000",Lenovo,15.6,V15,Celeron,4GB,256
117,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 M1502Q-BQ027-R5 16GB 512SSD - کاستوم شده,"28,000,000",Asus,15.6,Vivobook,NA,16GB,512
118,لپ تاپ 16 اینچی ایسوس مدل ROG Strix G16 G614JV-AS73,"80,117,840",Asus,16,ROG,NA,NA,NA
119,لپ تاپ 16 اینچی لنوو مدل Legion Pro 5 16IRX8 i7 16GB 1SSD RTX4060,"85,000,000",Lenovo,16,Legion,i7,16GB,1
